Name,Address,City,Zip,Date,Score,Type,Lat,Lng,kind,external_i,name_1,slug,set,metadata,resource_u
Inglewood,1122 CENTINELA AVE,INGLEWOOD,90302,06/21/2013,90,Restaurant,33.9765915,-118.358627,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Gardena,1045 W ROSECRANS AVE,GARDENA,90247,06/21/2013,90,Restaurant,33.9019203,-118.2932419,L.A. County Neighborhood (V6),gardena,,gardena-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Gardena"", ""region"": ""south-bay"", ""county"": ""los-angeles"",",/1.0/boundary/gardena-la-county-neighborhood-v6/
Pomona,"12 VILLAGE LOOP RD #A&B;",POMONA,91766,06/21/2013,96,Restaurant,34.0397162,-117.7549295,L.A. County Neighborhood (V6),pomona,,pomona-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Pomona"", ""region"": ""pomona-valley"", ""county"": ""los-angele",/1.0/boundary/pomona-la-county-neighborhood-v6/
West Covina,510 S GLENDORA AVE,WEST COVINA,91790,06/21/2013,95,Restaurant,34.0655728,-117.9269609,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
Pomona,1604 W MISSION BLVD,POMONA,91766,06/21/2013,95,Restaurant,34.0536037,-117.7754593,L.A. County Neighborhood (V6),pomona,,pomona-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Pomona"", ""region"": ""pomona-valley"", ""county"": ""los-angele",/1.0/boundary/pomona-la-county-neighborhood-v6/
Norwalk,10555 E FIRESTONE BLVD,NORWALK,90650,06/21/2013,98,Restaurant,33.9265879,-118.1061875,L.A. County Neighborhood (V6),norwalk,,norwalk-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Norwalk"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/norwalk-la-county-neighborhood-v6/
Artesia,17104 S PIONEER BLVD,ARTESIA,90701,06/21/2013,91,Restaurant,33.8756288,-118.0823662,L.A. County Neighborhood (V6),artesia,,artesia-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Artesia"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/artesia-la-county-neighborhood-v6/
Pomona,3220 W TEMPLE AVE,POMONA,91766,06/21/2013,93,Restaurant,34.0460993,-117.8036135,L.A. County Neighborhood (V6),pomona,,pomona-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Pomona"", ""region"": ""pomona-valley"", ""county"": ""los-angele",/1.0/boundary/pomona-la-county-neighborhood-v6/
La Puente,1318 N HACIENDA BLVD,LA PUENTE,91744,06/21/2013,99,Restaurant,34.044333,-117.9491634,L.A. County Neighborhood (V6),la-puente,,la-puente-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""La Puente"", ""region"": ""san-gabriel-valley"", ""county"": ""lo",/1.0/boundary/la-puente-la-county-neighborhood-v6/
Norwalk,10635 E IMPERIAL HWY,NORWALK,90650,06/21/2013,92,Restaurant,33.9171667,-118.1071159,L.A. County Neighborhood (V6),norwalk,,norwalk-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Norwalk"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/norwalk-la-county-neighborhood-v6/
Glendora,1223 E ROUTE 66,GLENDORA,91740,06/21/2013,91,Restaurant,34.1290624,-117.8432529,L.A. County Neighborhood (V6),glendora,,glendora-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendora"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/glendora-la-county-neighborhood-v6/
West Covina,2122 W FRANCISQUITO AVE B,WEST COVINA,91790,06/21/2013,99,Restaurant,34.0603562,-117.9635464,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
Norwalk,10628 E IMPERIAL HWY,NORWALK,90650,06/21/2013,90,Restaurant,33.9170111,-118.1071313,L.A. County Neighborhood (V6),norwalk,,norwalk-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Norwalk"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/norwalk-la-county-neighborhood-v6/
Bellflower,17847 S LAKEWOOD BLVD,BELLFLOWER,90706,06/21/2013,95,Restaurant,33.869798,-118.142849,L.A. County Neighborhood (V6),bellflower,,bellflower-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Bellflower"", ""region"": ""southeast"", ""county"": ""los-angele",/1.0/boundary/bellflower-la-county-neighborhood-v6/
Glendora,855 W ROUTE 66,GLENDORA,91740,06/21/2013,93,Restaurant,34.1287923,-117.8803793,L.A. County Neighborhood (V6),glendora,,glendora-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendora"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/glendora-la-county-neighborhood-v6/
Claremont,860 S INDIAN HILL BLVD,CLAREMONT,91711,06/21/2013,95,Restaurant,34.0803216,-117.7185324,L.A. County Neighborhood (V6),claremont,,claremont-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Claremont"", ""region"": ""pomona-valley"", ""county"": ""los-ang",/1.0/boundary/claremont-la-county-neighborhood-v6/
Cerritos,11421 SOUTH ST,CERRITOS,90703,06/21/2013,93,Restaurant,33.8584899,-118.0903662,L.A. County Neighborhood (V6),cerritos,,cerritos-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Cerritos"", ""region"": ""southeast"", ""county"": ""los-angeles""",/1.0/boundary/cerritos-la-county-neighborhood-v6/
San Fernando,137 N MACLAY AVE,SAN FERNANDO,91340,06/21/2013,92,Restaurant,34.2845814,-118.4395761,L.A. County Neighborhood (V6),san-fernando,,san-fernando-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""San Fernando"", ""region"": ""san-fernando-valley"", ""county"":",/1.0/boundary/san-fernando-la-county-neighborhood-v6/
Signal Hill,1825 REDONDO AVE,SIGNAL HILL,90755,06/21/2013,98,Restaurant,33.7906576,-118.152047,L.A. County Neighborhood (V6),signal-hill,,signal-hill-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Signal Hill"", ""region"": ""harbor"", ""county"": ""los-angeles""",/1.0/boundary/signal-hill-la-county-neighborhood-v6/
Rancho Palos Verdes,28901 S WESTERN AVE #219,RANCHO PALOS VERDES,90275,06/21/2013,90,Restaurant,33.7554378,-118.3102336,L.A. County Neighborhood (V6),rancho-palos-verdes,,rancho-palos-verdes-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Rancho Palos Verdes"", ""region"": ""south-bay"", ""county"": ""l",/1.0/boundary/rancho-palos-verdes-la-county-neighborhood-v6/
Carson,135 E LOMITA BLVD,CARSON,90745,06/21/2013,92,Restaurant,33.798727,-118.274743,L.A. County Neighborhood (V6),carson,,carson-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Carson"", ""region"": ""harbor"", ""county"": ""los-angeles"", ""ty",/1.0/boundary/carson-la-county-neighborhood-v6/
Hermosa Beach,133 HERMOSA AVE,HERMOSA BEACH,90254,06/21/2013,98,Restaurant,33.8546306,-118.3982966,L.A. County Neighborhood (V6),hermosa-beach,,hermosa-beach-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Hermosa Beach"", ""region"": ""south-bay"", ""county"": ""los-ang",/1.0/boundary/hermosa-beach-la-county-neighborhood-v6/
Burbank,4000 WARNER BLVD,BURBANK,91505,06/21/2013,97,Restaurant,34.1505561,-118.3386326,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Glendale,605 N GLENDALE AVE,GLENDALE,91206,06/21/2013,95,Restaurant,34.1550733,-118.242978,L.A. County Neighborhood (V6),glendale,,glendale-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendale"", ""region"": ""verdugos"", ""county"": ""los-angeles"",",/1.0/boundary/glendale-la-county-neighborhood-v6/
Burbank,4000 WARNER BLVD,BURBANK,91505,06/21/2013,97,Restaurant,34.1505561,-118.3386326,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,4000 WARNER BLVD,BURBANK,91522,06/21/2013,99,Restaurant,34.1498977,-118.3410174,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,4000 WARNER BLVD,BURBANK,91522,06/21/2013,99,Restaurant,34.1498977,-118.3410174,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,4000 WARNER BLVD,BURBANK,91522,06/21/2013,98,Restaurant,34.1498977,-118.3410174,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,201 E MAGNOLIA BLVD #387,BURBANK,91502,06/21/2013,96,Restaurant,34.1834714,-118.3122355,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,201 E MAGNOLIA BLVD #386,BURBANK,91502,06/21/2013,94,Restaurant,34.1834714,-118.3122355,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Angeles Crest,24510 BIG PINES HWY,WRIGHTWOOD,92397,06/21/2013,100,Restaurant,34.3769581,-117.6915199,L.A. County Neighborhood (V6),angeles-crest,,angeles-crest-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Angeles Crest"", ""region"": ""angeles-forest"", ""county"": ""lo",/1.0/boundary/angeles-crest-la-county-neighborhood-v6/
Studio City,12743 VENTURA BLVD,STUDIO CITY,91604,06/21/2013,93,Restaurant,34.14515,-118.410846,L.A. County Neighborhood (V6),studio-city,,studio-city-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Studio City"", ""region"": ""san-fernando-valley"",",/1.0/boundary/studio-city-la-county-neighborhood-v6/
Southeast Antelope Valley,24518 BIG PINES HWY,WRIGHTWOOD,92397,06/21/2013,100,Restaurant,34.3967542,-117.7363103,L.A. County Neighborhood (V6),southeast-antelope-valley,,southeast-antelope-valley-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Southeast Antelope Valley"", ""region"": ""antelope-valley"",",/1.0/boundary/southeast-antelope-valley-la-county-neighborhood-v6/
Glendale,1361 E COLORADO ST,GLENDALE,91205,06/21/2013,97,Restaurant,34.142955,-118.235028,L.A. County Neighborhood (V6),glendale,,glendale-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendale"", ""region"": ""verdugos"", ""county"": ""los-angeles"",",/1.0/boundary/glendale-la-county-neighborhood-v6/
El Monte,3608 PECK RD,EL MONTE,91731,06/21/2013,90,Restaurant,34.0729308,-118.0233416,L.A. County Neighborhood (V6),el-monte,,el-monte-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""El Monte"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/el-monte-la-county-neighborhood-v6/
Woodland Hills,20918 VENTURA BLVD,WOODLAND HILLS,91364,06/21/2013,91,Restaurant,34.1664403,-118.589094,L.A. County Neighborhood (V6),woodland-hills,,woodland-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Woodland Hills"", ""region"": ""san-fernando-valle",/1.0/boundary/woodland-hills-la-county-neighborhood-v6/
Woodland Hills,20969 VENTURA BLVD #1,WOODLAND HILLS,91364,06/21/2013,91,Restaurant,34.1668278,-118.5903375,L.A. County Neighborhood (V6),woodland-hills,,woodland-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Woodland Hills"", ""region"": ""san-fernando-valle",/1.0/boundary/woodland-hills-la-county-neighborhood-v6/
Canoga Park,7250 CANOGA AVE,CANOGA PARK,91303,06/21/2013,92,Restaurant,34.2028045,-118.5976942,L.A. County Neighborhood (V6),canoga-park,,canoga-park-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Canoga Park"", ""region"": ""san-fernando-valley"",",/1.0/boundary/canoga-park-la-county-neighborhood-v6/
Westlake Village,2 DOLE DR,WESTLAKE VILLAGE,91362,06/21/2013,91,Restaurant,34.151368,-118.804506,L.A. County Neighborhood (V6),westlake-village,,westlake-village-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Westlake Village"", ""region"": ""santa-monica-mountains"", ""c",/1.0/boundary/westlake-village-la-county-neighborhood-v6/
Downtown,123 ONIZUKA ST #305,LOS ANGELES,90012,06/20/2013,97,Restaurant,34.0505235,-118.2420452,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
Downtown,123 ONIZUKA ST #301,LOS ANGELES,90012,06/20/2013,93,Restaurant,34.0505235,-118.2420452,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
West Los Angeles,1929 WESTWOOD BLVD,LOS ANGELES,90025,06/20/2013,85,Restaurant,34.0475869,-118.435163,L.A. County Neighborhood (V6),west-los-angeles,,west-los-angeles-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""West Los Angeles"", ""region"": ""westside"", ""coun",/1.0/boundary/west-los-angeles-la-county-neighborhood-v6/
Alondra Park,14909 S CRENSHAW BLVD,GARDENA,90249,06/20/2013,90,Restaurant,33.8962593,-118.3271366,L.A. County Neighborhood (V6),alondra-park,,alondra-park-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Alondra Park"", ""region"": ""south-bay"", ""county"": ""los-ange",/1.0/boundary/alondra-park-la-county-neighborhood-v6/
Beverly Hills,200 S BEVERLY DR,BEVERLY HILLS,90212,06/20/2013,90,Restaurant,34.064711,-118.3987991,L.A. County Neighborhood (V6),beverly-hills,,beverly-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Beverly Hills"", ""region"": ""westside"", ""county"": ""los-ange",/1.0/boundary/beverly-hills-la-county-neighborhood-v6/
Downtown,418 E 2ND ST,LOS ANGELES,90012,06/20/2013,93,Restaurant,34.0475625,-118.2391303,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
Hawthorne,14101 S HAWTHORNE BLVD,HAWTHORNE,90250,06/20/2013,96,Restaurant,33.9035456,-118.3529987,L.A. County Neighborhood (V6),hawthorne,,hawthorne-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Hawthorne"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/hawthorne-la-county-neighborhood-v6/
Beverly Hills,8689 WILSHIRE BLVD,BEVERLY HILLS,90211,06/20/2013,92,Restaurant,34.0667789,-118.381215,L.A. County Neighborhood (V6),beverly-hills,,beverly-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Beverly Hills"", ""region"": ""westside"", ""county"": ""los-ange",/1.0/boundary/beverly-hills-la-county-neighborhood-v6/
Downtown,123 ONIZUKA ST #307,LOS ANGELES,90012,06/20/2013,92,Restaurant,34.0505235,-118.2420452,L.A. County Neighborhood (V6),downtown,,downtown-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Downtown"", ""region"": ""central-la"", ""county"": """,/1.0/boundary/downtown-la-county-neighborhood-v6/
Beverly Hills,132 N ROBERTSON BLVD,BEVERLY HILLS,90211,06/20/2013,95,Restaurant,34.0677624,-118.3835675,L.A. County Neighborhood (V6),beverly-hills,,beverly-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Beverly Hills"", ""region"": ""westside"", ""county"": ""los-ange",/1.0/boundary/beverly-hills-la-county-neighborhood-v6/
Fairfax,6333 W 3RD ST 706,LOS ANGELES,90036,06/20/2013,94,Restaurant,34.0721657,-118.3602991,L.A. County Neighborhood (V6),fairfax,,fairfax-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Fairfax"", ""region"": ""central-la"", ""county"": ""l",/1.0/boundary/fairfax-la-county-neighborhood-v6/
Inglewood,1050 S PRAIRIE AVE #28,INGLEWOOD,90305,06/20/2013,91,Restaurant,33.9533992,-118.3402205,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Diamond Bar,22801 E GOLDEN SPRINGS DR,DIAMOND BAR,91765,06/20/2013,97,Restaurant,34.0086461,-117.8182275,L.A. County Neighborhood (V6),diamond-bar,,diamond-bar-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Diamond Bar"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/diamond-bar-la-county-neighborhood-v6/
West Covina,2655 S CITRUS AVE,WEST COVINA,91791,06/20/2013,98,Restaurant,34.053095,-117.886955,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
Diamond Bar,22801 GOLDEN SPRINGS DR,DIAMOND BAR,91765,06/20/2013,95,Restaurant,34.0086461,-117.8182275,L.A. County Neighborhood (V6),diamond-bar,,diamond-bar-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Diamond Bar"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/diamond-bar-la-county-neighborhood-v6/
Covina,989 W SAN BERNARDINO RD,COVINA,91724,06/20/2013,92,Restaurant,34.0889066,-117.9098209,L.A. County Neighborhood (V6),covina,,covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Covina"", ""region"": ""san-gabriel-valley"", ""county"": ""los-a",/1.0/boundary/covina-la-county-neighborhood-v6/
Echo Park,2100 ECHO PARK AVE,LOS ANGELES,90026,06/20/2013,97,Restaurant,34.0895663,-118.2497432,L.A. County Neighborhood (V6),echo-park,,echo-park-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Echo Park"", ""region"": ""central-la"", ""county"":",/1.0/boundary/echo-park-la-county-neighborhood-v6/
Lakewood,5549 N WOODRUFF AVE,LAKEWOOD,90713,06/20/2013,91,Restaurant,33.8576091,-118.1170842,L.A. County Neighborhood (V6),lakewood,,lakewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Lakewood"", ""region"": ""harbor"", ""county"": ""los-angeles"", """,/1.0/boundary/lakewood-la-county-neighborhood-v6/
Norwalk,10935 E ROSECRANS AVE,NORWALK,90650,06/20/2013,94,Restaurant,33.9021639,-118.1018721,L.A. County Neighborhood (V6),norwalk,,norwalk-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Norwalk"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/norwalk-la-county-neighborhood-v6/
Covina,570 E SAN BERNARDINO RD,COVINA,91723,06/20/2013,92,Restaurant,34.0908198,-117.8794677,L.A. County Neighborhood (V6),covina,,covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Covina"", ""region"": ""san-gabriel-valley"", ""county"": ""los-a",/1.0/boundary/covina-la-county-neighborhood-v6/
Claremont,101 N INDIAN HILL BLVD #C- 103,CLAREMONT,91711,06/20/2013,92,Restaurant,34.0948087,-117.7194922,L.A. County Neighborhood (V6),claremont,,claremont-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Claremont"", ""region"": ""pomona-valley"", ""county"": ""los-ang",/1.0/boundary/claremont-la-county-neighborhood-v6/
West Covina,533 S GLENDORA AVE,WEST COVINA,91790,06/20/2013,90,Restaurant,34.065758,-117.928087,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
West Covina,3030 E GARVEY AVE,WEST COVINA,91791,06/20/2013,90,Restaurant,34.0710321,-117.8795185,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
Industry,17501 COLIMA RD #E,CITY OF INDUSTRY,91748,06/20/2013,97,Restaurant,33.991237,-117.924763,L.A. County Neighborhood (V6),industry,,industry-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Industry"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/industry-la-county-neighborhood-v6/
Downey,9253 FIRESTONE BLVD,DOWNEY,90241,06/20/2013,96,Restaurant,33.9331242,-118.1183253,L.A. County Neighborhood (V6),downey,,downey-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Downey"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/downey-la-county-neighborhood-v6/
Downey,7932 FLORENCE AVE,DOWNEY,90240,06/20/2013,96,Restaurant,33.9536659,-118.1314289,L.A. County Neighborhood (V6),downey,,downey-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Downey"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/downey-la-county-neighborhood-v6/
Covina,154 E ARROW HWY,COVINA,91722,06/20/2013,90,Restaurant,34.10659,-117.8888081,L.A. County Neighborhood (V6),covina,,covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Covina"", ""region"": ""san-gabriel-valley"", ""county"": ""los-a",/1.0/boundary/covina-la-county-neighborhood-v6/
Diamond Bar,22640 GOLDEN SPRINGS DR,DIAMOND BAR,91765,06/20/2013,90,Restaurant,34.0072531,-117.8201271,L.A. County Neighborhood (V6),diamond-bar,,diamond-bar-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Diamond Bar"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/diamond-bar-la-county-neighborhood-v6/
Downey,8019 FLORENCE AVE,DOWNEY,90240,06/20/2013,96,Restaurant,33.953432,-118.1292857,L.A. County Neighborhood (V6),downey,,downey-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Downey"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/downey-la-county-neighborhood-v6/
Cerritos,11449 SOUTH ST,CERRITOS,90703,06/20/2013,92,Restaurant,33.8584899,-118.0896441,L.A. County Neighborhood (V6),cerritos,,cerritos-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Cerritos"", ""region"": ""southeast"", ""county"": ""los-angeles""",/1.0/boundary/cerritos-la-county-neighborhood-v6/
