Name,Address,City,Zip,Date,Score,Type,Lat,Lng,kind,external_i,name_1,slug,set,metadata,resource_u
Hollywood,1057 N VINE ST,LOS ANGELES,90038,06/28/2013,95,Restaurant,34.090092,-118.326847,L.A. County Neighborhood (V6),hollywood,,hollywood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Hollywood"", ""region"": ""central-la"", ""county"":",/1.0/boundary/hollywood-la-county-neighborhood-v6/
Inglewood,3883 W CENTURY BLVD,INGLEWOOD,90301,06/28/2013,80,Restaurant,33.9472293,-118.3402142,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Gardena,15501 S VERMONT AVE,GARDENA,90247,06/28/2013,92,Restaurant,33.8906104,-118.2921117,L.A. County Neighborhood (V6),gardena,,gardena-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Gardena"", ""region"": ""south-bay"", ""county"": ""los-angeles"",",/1.0/boundary/gardena-la-county-neighborhood-v6/
Willowbrook,110 W EL SEGUNDO BLVD,LOS ANGELES,90061,06/28/2013,90,Restaurant,33.916194,-118.2741689,L.A. County Neighborhood (V6),willowbrook,,willowbrook-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Willowbrook"", ""region"": ""south-la"", ""county"": ""los-angele",/1.0/boundary/willowbrook-la-county-neighborhood-v6/
Claremont,1055 W FOOTHILL BLVD,CLAREMONT,91711,06/28/2013,93,Restaurant,34.1071535,-117.7355977,L.A. County Neighborhood (V6),claremont,,claremont-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Claremont"", ""region"": ""pomona-valley"", ""county"": ""los-ang",/1.0/boundary/claremont-la-county-neighborhood-v6/
West Covina,265 S GLENDORA AVE MAIN,WEST COVINA,91790,06/28/2013,100,Restaurant,34.0656464,-117.9424743,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
West Covina,265 S GLENDORA AVE,WEST COVINA,91790,06/28/2013,98,Restaurant,34.070261,-117.923442,L.A. County Neighborhood (V6),west-covina,,west-covina-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""West Covina"", ""region"": ""san-gabriel-valley"", ""county"": """,/1.0/boundary/west-covina-la-county-neighborhood-v6/
Glendora,265 S GLENDORA AVE SR,WEST COVINA,91791,06/28/2013,100,Restaurant,34.1194259,-117.862856,L.A. County Neighborhood (V6),glendora,,glendora-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendora"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/glendora-la-county-neighborhood-v6/
Claremont,1065 W FOOTHILL BLVD,CLAREMONT,91711,06/28/2013,92,Restaurant,34.1071581,-117.7357842,L.A. County Neighborhood (V6),claremont,,claremont-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Claremont"", ""region"": ""pomona-valley"", ""county"": ""los-ang",/1.0/boundary/claremont-la-county-neighborhood-v6/
Florence-Firestone,1748 E FLORENCE AVE,LOS ANGELES,90001,06/28/2013,96,Restaurant,33.9746078,-118.2415585,L.A. County Neighborhood (V6),florence-firestone,,florence-firestone-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Florence-Firestone"", ""region"": ""south-la"", ""county"": ""los",/1.0/boundary/florence-firestone-la-county-neighborhood-v6/
Unincorporated Santa Susana Mountains,25220 THE OLD ROAD,NEWHALL,91321,06/28/2013,95,Restaurant,34.3770847,-118.5653282,L.A. County Neighborhood (V6),unincorporated-santa-susana-mountains,,unincorporated-santa-susana-mountains-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Unincorporated Santa Susana Mountains"", ""region"": ""northw",/1.0/boundary/unincorporated-santa-susana-mountains-la-county-neighborhood-v6/
Leimert Park,3515 RODEO RD,LOS ANGELES,90008,06/28/2013,94,Restaurant,34.0215528,-118.3342984,L.A. County Neighborhood (V6),leimert-park,,leimert-park-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Leimert Park"", ""region"": ""south-la"", ""county"":",/1.0/boundary/leimert-park-la-county-neighborhood-v6/
Glendale,714 S BRAND BLVD,GLENDALE,91204,06/28/2013,99,Restaurant,34.1378006,-118.2546498,L.A. County Neighborhood (V6),glendale,,glendale-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Glendale"", ""region"": ""verdugos"", ""county"": ""los-angeles"",",/1.0/boundary/glendale-la-county-neighborhood-v6/
Burbank,511 N GLENOAKS BLVD,BURBANK,91502,06/28/2013,100,Restaurant,34.1861674,-118.3104312,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Burbank,321 E MAGNOLIA BLVD,BURBANK,91502,06/28/2013,100,Restaurant,34.184655,-118.310519,L.A. County Neighborhood (V6),burbank,,burbank-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Burbank"", ""region"": ""san-fernando-valley"", ""county"": ""los",/1.0/boundary/burbank-la-county-neighborhood-v6/
Woodland Hills,22901 VENTURA BLVD,WOODLAND HILLS,91364,06/28/2013,90,Restaurant,34.1656764,-118.625288,L.A. County Neighborhood (V6),woodland-hills,,woodland-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Woodland Hills"", ""region"": ""san-fernando-valle",/1.0/boundary/woodland-hills-la-county-neighborhood-v6/
Woodland Hills,6001 FALLBROOK AVE,WOODLAND HILLS,91367,06/28/2013,91,Restaurant,34.1794025,-118.623868,L.A. County Neighborhood (V6),woodland-hills,,woodland-hills-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Woodland Hills"", ""region"": ""san-fernando-valle",/1.0/boundary/woodland-hills-la-county-neighborhood-v6/
Inglewood,633 W MANCHESTER BLVD,INGLEWOOD,90301,06/27/2013,86,Restaurant,33.9620837,-118.3678273,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Vermont Vista,10020 S FIGUEROA ST,LOS ANGELES,90003,06/27/2013,90,Restaurant,33.9453536,-118.2825957,L.A. County Neighborhood (V6),vermont-vista,,vermont-vista-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": ""los-angeles"", ""name"": ""Vermont Vista"", ""region"": ""south-la"", ""county""",/1.0/boundary/vermont-vista-la-county-neighborhood-v6/
Inglewood,1050 S PRAIRIE AVE,INGLEWOOD,90301,06/27/2013,100,Restaurant,33.9533992,-118.3402205,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Inglewood,1050 S PRAIRIE AVE,INGLEWOOD,90301,06/27/2013,99,Restaurant,33.9533992,-118.3402205,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Inglewood,1050 S PRAIRIE AVE,INGLEWOOD,90301,06/27/2013,94,Restaurant,33.9533992,-118.3402205,L.A. County Neighborhood (V6),inglewood,,inglewood-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Inglewood"", ""region"": ""south-bay"", ""county"": ""los-angeles",/1.0/boundary/inglewood-la-county-neighborhood-v6/
Lennox,4461 LENNOX BLVD,LENNOX,90304,06/27/2013,93,Restaurant,33.9382869,-118.3547055,L.A. County Neighborhood (V6),lennox,,lennox-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Lennox"", ""region"": ""south-bay"", ""county"": ""los-angeles"",",/1.0/boundary/lennox-la-county-neighborhood-v6/
Gardena,1199 W ARTESIA BLVD,GARDENA,90248,06/27/2013,89,Restaurant,33.8728155,-118.3011822,L.A. County Neighborhood (V6),gardena,,gardena-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Gardena"", ""region"": ""south-bay"", ""county"": ""los-angeles"",",/1.0/boundary/gardena-la-county-neighborhood-v6/
Claremont,970 W FOOTHILL BLVD,CLAREMONT,91711,06/27/2013,91,Restaurant,34.1067907,-117.7336074,L.A. County Neighborhood (V6),claremont,,claremont-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Claremont"", ""region"": ""pomona-valley"", ""county"": ""los-ang",/1.0/boundary/claremont-la-county-neighborhood-v6/
Downey,8148 FIRESTONE BLVD,DOWNEY,90241,06/27/2013,96,Restaurant,33.9410657,-118.1353591,L.A. County Neighborhood (V6),downey,,downey-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Downey"", ""region"": ""southeast"", ""county"": ""los-angeles"",",/1.0/boundary/downey-la-county-neighborhood-v6/
Rowland Heights,18406 COLIMA RD #E-F,ROWLAND HEIGHTS,91748,06/27/2013,86,Restaurant,33.988193,-117.9031687,L.A. County Neighborhood (V6),rowland-heights,,rowland-heights-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Rowland Heights"", ""region"": ""san-gabriel-valley"", ""county",/1.0/boundary/rowland-heights-la-county-neighborhood-v6/
Rowland Heights,17515 COLIMA RD #B,CITY OF INDUSTRY,91748,06/27/2013,92,Restaurant,33.9883658,-117.9075089,L.A. County Neighborhood (V6),rowland-heights,,rowland-heights-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Rowland Heights"", ""region"": ""san-gabriel-valley"", ""county",/1.0/boundary/rowland-heights-la-county-neighborhood-v6/
Industry,17859 E COLIMA RD,CITY OF INDUSTRY,91748,06/27/2013,96,Restaurant,33.9901052,-117.9151702,L.A. County Neighborhood (V6),industry,,industry-la-county-neighborhood-v6,/1.0/boundary-set/la-county-neighborhoods-v6/,"{ ""city"": """", ""name"": ""Industry"", ""region"": ""san-gabriel-valley"", ""county"": ""los",/1.0/boundary/industry-la-county-neighborhood-v6/
