Name,Address,City,Zip,Date,Score,Type
"LOUISIANA FRIED CHICKEN/HONG","12730 S FIGUEROA ST 101","LOS ANGELES","90061","06/18/2013","92","Restaurant"
"TOKYO BEAT RESTAURANT","319 E 2ND ST 205","LOS ANGELES","90012","06/18/2013","89","Restaurant"
"PARK GRILL","2151 AVE OF THE STARS","LOS ANGELES","90067","06/18/2013","90","Restaurant"
"TWIN DRAGON - PREP KITCHEN","8647 W PICO BLVD","LOS ANGELES","90035","06/18/2013","87","Restaurant"
"TSUJITA LA ARTISAN NOODLE ANNX","2050 SAWTELLE BLVD","LOS ANGELES","90025","06/18/2013","93","Restaurant"
"GOLDEN BOWL #18","12801 S NORMANDIE AVE","GARDENA","90249","06/18/2013","90","Restaurant"
"BANADIR RESTAURANT","137 W ARBOR VITAE ST C","INGLEWOOD","90301","06/18/2013","90","Restaurant"
"FRANKIE & JOHNNIE NEW YORK PIZ","8947 SUNSET BLVD","WEST HOLLYWOOD","90069","06/18/2013","93","Restaurant"
"FIVE GUYS BURGERS AND FRIES","8731 SANTA MONICA BLVD","WEST HOLLYWOOD","90069","06/18/2013","99","Restaurant"
"TAPAS AND WINE BAR C.","428 E 2ND ST","LOS ANGELES","90012","06/18/2013","99","Restaurant"
"LA POBLANITA RESTAURANT","139 W ARBOR VITAE ST","INGLEWOOD","90301","06/18/2013","97","Restaurant"
"THAI TASTE RESTAURANT","2328 FLETCHER DR #5","LOS ANGELES","90039","06/18/2013","90","Restaurant"
"TACO BELL #1178","6000 S CRENSHAW BLVD","LOS ANGELES","90043","06/18/2013","97","Restaurant"
"HAN SANG RESTAURANT","1119 BREA CANYON RD","DIAMOND BAR","91765","06/18/2013","90","Restaurant"
"PICASSO'S CAFE","6070 N IRWINDALE AVE","IRWINDALE","91706","06/18/2013","98","Restaurant"
"MISORA SUSHI","2040 S BREA CANYON RD #130","DIAMOND BAR","91765","06/18/2013","95","Restaurant"
"J.R. BAKERY","11816 E CENTRALIA ST","LAKEWOOD","90715","06/18/2013","90","Restaurant"
"STATER BROS. MRKT #134 (DELI)","12800 S LA MIRADA BLVD","LA MIRADA","90638","06/18/2013","96","Restaurant"
"SAM'S BURGERS","14525 E TELEGRAPH RD","LA MIRADA","90638","06/18/2013","90","Restaurant"
"LISA'S COFFEE SHOP","1530 W SAN BERNARDINO RD","COVINA","91722","06/18/2013","80","Restaurant"
"SHU FENG YUAN","18459 E COLIMA RD","ROWLAND HEIGHTS","91748","06/18/2013","83","Restaurant"
"CHIPOTLE MEXICAN GRILL","17501 E COLIMA RD # C","CITY OF INDUSTRY","91748","06/18/2013","98","Restaurant"
"GRILL CITY","1525 E AMAR RD","WEST COVINA","91792","06/18/2013","91","Restaurant"
"MA DANG SAE KOREAN BBQ","21004 S PIONEER BLVD","LAKEWOOD","90715","06/18/2013","78","Restaurant"
"LOS FAROLES","1118 W SAN BERNARDINO RD","COVINA","91722","06/18/2013","90","Restaurant"
"GLORIA'S MEXICAN & AMER. FOOD","491 S CITRUS AVE","AZUSA","91702","06/18/2013","96","Restaurant"
"PHOENIX FOOD BOUTIQUE","18166 COLIMA RD","ROWLAND HEIGHTS","91748","06/18/2013","97","Restaurant"
"TAM'S SUPERBURGERS  NO.33","11700 E ROSECRANS AVE","NORWALK","90650","06/18/2013","92","Restaurant"
"THE JOINT PIZZERIA & BISTRO","1225 N GRAND AVE","WALNUT","91789","06/18/2013","97","Restaurant"
"GARDUNO'S MEXICAN FOOD","14567 E TELEGRAPH RD","LA MIRADA","90638","06/18/2013","98","Restaurant"
"PETISCOS","211 W FIRST ST","CLAREMONT","91711","06/18/2013","91","Restaurant"
"3 AMIGOS TACOS","16441 S PIONEER BLVD J","NORWALK","90650","06/18/2013","91","Restaurant"
"SPEARMINT RHINO","15411 VALLEY BLVD","CITY OF INDUSTRY","91745","06/18/2013","97","Restaurant"
"VEGGIE DELIGHT COMPANY","11736 E 166TH ST","ARTESIA","90701","06/18/2013","92","Restaurant"
"MAIN KITCHEN","1 INDUSTRY HILLS PKWY","CITY OF INDUSTRY","91744","06/18/2013","94","Restaurant"
"ALBERTSON'S #6125 DELI","13003 E WHITTIER BLVD","WHITTIER","90602","06/18/2013","90","Restaurant"
"ALBERTSON'S #6125 -  BAKERY","13003 E WHITTIER BLVD","WHITTIER","90602","06/18/2013","98","Restaurant"
"FIVE GUYS BURGERS & FRIES","4625 E CANDLEWOOD ST","LAKEWOOD","90712","06/18/2013","95","Restaurant"
"MCDONALD'S","12256 PARAMOUNT BLVD","DOWNEY","90242","06/18/2013","96","Restaurant"
"WOLFE'S MARKET","160 W FOOTHILL BLVD","CLAREMONT","91711","06/18/2013","95","Restaurant"
"THE BUCKET CRABS AND CRAWFISH","16441 S PIONEER BLVD #C&D;","NORWALK","90650","06/18/2013","86","Restaurant"
"WABA GRILL TERIYAKI HOUSE","385 S LEMON AVE #A","WALNUT","91789","06/18/2013","95","Restaurant"
"GENE'S GRINDERS","2125 WRIGHT AVE #C-7","LA VERNE","91750","06/18/2013","98","Restaurant"
"MEXICO LINDO","1060 S GAREY AVE","POMONA","91766","06/18/2013","99","Restaurant"
"SUBWAY","1401 E GAGE AVE #C","LOS ANGELES","90001","06/18/2013","98","Restaurant"
"PINAPPLE HILL SALOON & GRILL","4454 VAN NUYS BLVD N","SHERMAN OAKS","91423","06/18/2013","94","Restaurant"
"SENIOR -CITY OF SOUTH GATE","4900 TWEEDY AVE","SOUTH GATE","90280","06/18/2013","99","Restaurant"
"CORNER BAKERY CAFE","5312 CLARK AVE","LAKEWOOD","90712","06/18/2013","96","Restaurant"
"EDWARDS SOUTH GATE 20","8630 GARFIELD AVE MAIN","SOUTH GATE","90280","06/18/2013","100","Restaurant"
"HANAMI SUSHI","4454 VAN NUYS BLVD #O","SHERMAN OAKS","91403","06/18/2013","100","Restaurant"
"PICK UP STIX","5105 CANDLEWOOD ST","LAKEWOOD","90712","06/18/2013","91","Restaurant"
"COSTA DORADE GRILL","11837 DOWNEY AVE","DOWNEY","90241","06/18/2013","92","Restaurant"
"WILLIAMS DONUTS","4454 VAN NUYS BLVD","SHERMAN OAKS","91423","06/18/2013","91","Restaurant"
"DER WIENERSCHNITZEL","1714 W AVE K","LANCASTER","93534","06/18/2013","90","Restaurant"
"MARISCOS EL VALLE","700 W COMPTON BLVD","COMPTON","90220","06/18/2013","87","Restaurant"
"RUBIO'S","5111 CANDLEWOOD AVE","LAKEWOOD","90712","06/18/2013","94","Restaurant"
"MARISCOS MI LINDO SINALOA #2","7610 E ROSECRANS AVE","PARAMOUNT","90723","06/18/2013","92","Restaurant"
"ZEN CHINESE KITCHEN","12022 LAKEWOOD BLVD","DOWNEY","90242","06/18/2013","96","Restaurant"
"TACOS EL TORO","5964 LAUREL CANYON BLVD","VALLEY VILLAGE","91607","06/18/2013","96","Restaurant"
"GOLD YAKI BURGER","4454 VAN NUYS BLVD M","SHERMAN OAKS","91423","06/18/2013","90","Restaurant"
"CASA TORRES","14117 HUBBARD ST","SYLMAR","91342","06/18/2013","97","Restaurant"
"U & I DONUTS","12200 S LONG BEACH BLVD","LYNWOOD","90262","06/18/2013","95","Restaurant"
"TOKYO FRIED RICE","21008 PIONEER BLVD","LAKEWOOD","90715","06/18/2013","92","Restaurant"
"EDWARDS SOUTH GATE 20","8630 GARFIELD AVE EAST","SOUTH GATE","90280","06/18/2013","100","Restaurant"
"L & L  HAWAIIAN BBQ","272-274 E SEPULVEDA BLVD","CARSON","90745","06/18/2013","97","Restaurant"
"NELSON'S","100 TERRANEA WY","RANCHO PALOS VERDES","90275","06/18/2013","92","Restaurant"
"MAR'SEL","100 TERRANEA WY","RANCHO PALOS VERDES","90275","06/18/2013","98","Restaurant"
"YOSHINOYA RESTAURANT","23215 HAWTHORNE BLVD #A","TORRANCE","90505","06/18/2013","94","Restaurant"
"YOGURT LOUNGE","25412 CRENSHAW BLVD","TORRANCE","90505","06/18/2013","96","Restaurant"
"MI PUEBLITO SAN JUAN REST.","1341 N WILMINGTON BLVD","WILMINGTON","90744","06/18/2013","92","Restaurant"
"OUTBACK STEAKHOUSE","1061 W RANCHO VISTA BLVD","PALMDALE","93551","06/18/2013","90","Restaurant"
"CARL'S JR. #66","2210 REDONDO BEACH BLVD","TORRANCE","90504","06/18/2013","99","Restaurant"
"CHINA BOWL EXPRESS","268 E SEPULVEDA BLVD","CARSON","90745","06/18/2013","91","Restaurant"
"PAT'S   II COCKTAILS","1312 S PACIFIC COAST HWY","REDONDO BEACH","90277","06/18/2013","95","Restaurant"
"INDIA SWEETS AND SPICE","1832 W AVENUE K 1","LANCASTER","93534","06/18/2013","80","Restaurant"
"CHINESE DELI","537 E SEPULVEDA BLVD","CARSON","90745","06/18/2013","94","Restaurant"
"YOSHINOYA","1100 W AVENUE K #103","LANCASTER","93534","06/18/2013","91","Restaurant"
"THAI FOOD TO GO","3417 TORRANCE BLVD","TORRANCE","90503","06/18/2013","91","Restaurant"
"SKYPARK CAFE","23430 HAWTHORNE BLVD","TORRANCE","90505","06/18/2013","90","Restaurant"
"EL POLLO LOCO","19300 HAWTHORNE BLVD","TORRANCE","90503","06/18/2013","98","Restaurant"
"GUS JR. BURGER","4001 S SAN PEDRO ST","LOS ANGELES","90011","06/18/2013","73","Restaurant"
"OYSTER HOUSE","12446 MOORPARK ST","STUDIO CITY","91604","06/18/2013","90","Restaurant"
"CACTUS MEXICAN FOOD","11401 MOORPARK ST","STUDIO CITY","91602","06/18/2013","94","Restaurant"
"TACOS EL GAVILAN","1900 S CENTRAL AVE","LOS ANGELES","90011","06/18/2013","99","Restaurant"
"SIMON'S BURGER","830 E WASHINGTON BLVD #1","LOS ANGELES","90021","06/18/2013","90","Restaurant"
"LOS COMPADRES","2031 S CENTRAL AVE","LOS ANGELES","90011","06/18/2013","93","Restaurant"
"TONY'S BURGER #4","2115 S CENTRAL AVE","LOS ANGELES","90011","06/18/2013","89","Restaurant"
"BOTANAS SNACK BAR","5115 S ROSEMEAD BLVD","PICO RIVERA","90660","06/18/2013","98","Restaurant"
"LA GUADALUPANA BAKERY","2520 1/4 S CENTRAL AVE","LOS ANGELES","90011","06/18/2013","87","Restaurant"
"JAX BAR & GRILL","339 N BRAND BLVD","GLENDALE","91203","06/18/2013","90","Restaurant"
"LA BAKING COMPANY","2108 N BROADWAY","LINCOLN HEIGHTS","90031","06/18/2013","92","Restaurant"
"FIESTA MEXICANA","1225 E WASHINGTON BLVD","LOS ANGELES","90021","06/18/2013","91","Restaurant"
"RAFI'S VILLAGE","400 S GLENOAKS BLVD","BURBANK","91502","06/18/2013","90","Restaurant"
"THE HOLLYWOOD WAY","1333 N HOLLYWOOD WY","BURBANK","91505","06/18/2013","97","Restaurant"
"ROYAL VANAK","108 N BRAND BLVD #100","GLENDALE","91203","06/18/2013","92","Restaurant"
"MCDONALD'S #13304","6910 N ROSEMEAD BLVD","SAN GABRIEL","91775","06/18/2013","98","Restaurant"
"MICHELLE'S PANCAKE HOUSE","706 W LAS TUNAS DR B3&4","SAN GABRIEL","91776","06/18/2013","82","Restaurant"
"MAYAN  GARDEN","311 W FOOTHILL BLVD","MONROVIA","91016","06/18/2013","99","Restaurant"
"BUCHANAN ARMS","2013 W BURBANK BLVD","BURBANK","91506","06/18/2013","96","Restaurant"
"LOLLICUP","643 W DUARTE RD","ARCADIA","91007","06/18/2013","88","Restaurant"
"STARBUCKS COFFEE #5734","10965 VENTURA BLVD","STUDIO CITY","91604","06/18/2013","98","Restaurant"
"FRONTIER WOK","1311 N HOLLYWOOD WY","BURBANK","91505","06/18/2013","94","Restaurant"
"GREEN GARDEN CAFE","510 S GLENOAKS BLVD","BURBANK","91502","06/18/2013","93","Restaurant"
"FU'S PALACE","8751 W PICO BLVD","LOS ANGELES","90035","06/18/2013","91","Restaurant"
"TWIN DRAGON","8597 W PICO BLVD","LOS ANGELES","90035","06/18/2013","92","Restaurant"
"THAI FLAVOR","303 1/2 N BRAND BLVD","GLENDALE","91203","06/18/2013","90","Restaurant"
"ICHIBAN JAPANESE RESTAURANT","711 FOOTHILL BLVD F&G;","LA CANADA FLINTRIDGE","91011","06/18/2013","97","Restaurant"
"IN-N-OUT BURGER #110","761 N FIRST ST","BURBANK","91502","06/18/2013","92","Restaurant"
"ROSE GARDEN CAFE","5930 FRANKLIN AVE","LOS ANGELES","90028","06/18/2013","98","Restaurant"
"AIR HOLLYWOOD RESTAURANT","2627 N HOLLYWOOD WY","BURBANK","91505","06/18/2013","97","Restaurant"
"CHOPSTICKS CHINESE CUISINE","600 E LIVE OAK AVE","ARCADIA","91006","06/18/2013","90","Restaurant"
"BUBBA GUMP SHRIMP CO","1000 UNIVERSAL STUDIOS BLVD","UNIVERSAL CITY","91608","06/18/2013","98","Restaurant"
"RENAISSANCE RESTAURANT","5930 FRANKLIN AVE","LOS ANGELES","90028","06/18/2013","95","Restaurant"
"BURBANK AIRPORT CONCESSION A-5","2627 N HOLLYWOOD WY","BURBANK","91505","06/18/2013","100","Restaurant"
"LA CANADA IMPORTS","1537 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","06/18/2013","93","Restaurant"
"RALPH'S GROCERY CO. #133 DELI","10901 VENTURA BLVD","STUDIO CITY","91604","06/18/2013","94","Restaurant"
"ISH KITCHEN","5612 ROSEMEAD BLVD","TEMPLE CITY","91780","06/18/2013","99","Restaurant"
"LE ROY'S HIGHLAND RESTAURANT","523 W HUNTINGTON DR","MONROVIA","91016","06/18/2013","90","Restaurant"
"VITELLO'S","4349 TUJUNGA AVE","STUDIO CITY","91604","06/18/2013","94","Restaurant"
"DA JUICE BAR","305 1/2 N BRAND BLVD","GLENDALE","91203","06/18/2013","97","Restaurant"
"SEA HARBOUR SEAFOOD REST.","3939 ROSEMEAD BLVD","ROSEMEAD","91770","06/18/2013","93","Restaurant"
"IRORI JAPANESE RESTAURANT","4371 GLENCOE AVE B4","MARINA DEL REY","90292","06/18/2013","100","Restaurant"
"BURGERWERKZ","30869 E THOUSAND OAKS BLVD","WESTLAKE VILLAGE","91362","06/18/2013","98","Restaurant"
"DELICIOUS  BAKERY","9147 RESEDA BLVD","NORTHRIDGE","91324","06/18/2013","95","Restaurant"
"CINEMARK  LOWER SATELLITE CONS","6081 CENTER DR 201","LOS ANGELES","90045","06/18/2013","98","Restaurant"
"URBAN SALAD BAR","16101 VENTURA BLVD #110","ENCINO","91436","06/18/2013","96","Restaurant"
"SEASALT FISH GRILL","508 SANTA MONICA BLVD","SANTA MONICA","90401","06/18/2013","91","Restaurant"
"CINEMARK 12TH  LOUNGE","6081 CENTER DR 201","LOS ANGELES","90045","06/18/2013","82","Restaurant"
"CINEMARK LOWER MAIN CONCESS.","6081 CENTER DR 201","LOS ANGELES","90045","06/18/2013","98","Restaurant"
"SUPER KING #5 BAKERY","19500 PLUMMER ST","NORTHRIDGE","91324","06/18/2013","98","Restaurant"
"SEASALT COUNTRY KITCHEN","510 SANTA MONICA BLVD","SANTA MONICA","90401","06/18/2013","91","Restaurant"
"MONTE'S STEAK HOUSE","5371 TOPANGA CANYON BLVD","WOODLAND HILLS","91364","06/18/2013","92","Restaurant"
"LA VICTORIA NIGHT CLUB","19655 SHERMAN WY","RESEDA","91335","06/18/2013","95","Restaurant"
"RESTAURANT TATSUKI","21630 VENTURA BLVD","WOODLAND HILLS","91364","06/18/2013","89","Restaurant"
"PAOLIS' ITALIAN KITCHEN","21020 VENTURA BLVD","WOODLAND HILLS","91364","06/18/2013","94","Restaurant"
"SUSHI KATSU-YA NORTHRIDGE","9701 RESEDA BLVD","NORTHRIDGE","91324","06/18/2013","94","Restaurant"
"FALAFELICIOUS","19500 PLUMMER ST F6","NORTHRIDGE","91324","06/18/2013","94","Restaurant"
"BASKIN ROBBINS 31 FLAVORS","5424 TOPANGA CANYON BLVD","WOODLAND HILLS","91364","06/18/2013","96","Restaurant"
"JAMBA JUICE # 111","19500 PLUMMER ST #F3","NORTHRIDGE","91324","06/18/2013","94","Restaurant"
"OMINO  (SUSHI)","20959 DEVONSHIRE ST","CHATSWORTH","91311","06/18/2013","94","Restaurant"
"WESTERN BAGEL","19500 PLUMMER ST #F2","NORTHRIDGE","91324","06/18/2013","99","Restaurant"
"COLD STONE CREAMERY","19500 PLUMMER ST F-5","NORTHRIDGE","91324","06/18/2013","90","Restaurant"
"STOP INN DONUTS","16851 VICTORY BLVD #12","VAN NUYS","91406","06/18/2013","94","Restaurant"
"JOSE ANTONIO-RESTAURANT","20951 DEVONSHIRE ST","CHATSWORTH","91311","06/18/2013","88","Restaurant"
"DRAGER'S WILTERN","3800 WILSHIRE BLVD 110F","LOS ANGELES","90010","06/17/2013","96","Restaurant"
"CAFE STORY","338 S WESTERN AVE A,B","LOS ANGELES","90020","06/17/2013","90","Restaurant"
"5TH AVENUE MARKET","2700 W VERNON AVE","LOS ANGELES","90008","06/17/2013","94","Restaurant"
"HAN KOOK BBQ  HOUSE","323 E 1ST ST","LOS ANGELES","90012","06/17/2013","91","Restaurant"
"SHIN SEN GUMI 2GO#1  (112&110)","1620 W REDONDO BEACH BLVD","GARDENA","90247","06/17/2013","96","Restaurant"
"IZAKAYA YUJI","424 E 2ND ST","LOS ANGELES","90012","06/17/2013","97","Restaurant"
"NIRVANA","314 E 1ST ST","LOS ANGELES","90012","06/17/2013","93","Restaurant"
"L A POLICE REVOLVER & ATH-CLUB","1880 N ACADEMY DR","LOS ANGELES","90012","06/17/2013","93","Restaurant"
"LAURITA'S","858 W GARDENA BLVD","GARDENA","90247","06/17/2013","93","Restaurant"
"SHIN SEN GUMI 2GO#2","1620 W REDONDO BEACH BLVD 107","GARDENA","90247","06/17/2013","98","Restaurant"
"TAMON","328 E 1ST ST","LOS ANGELES","90012","06/17/2013","94","Restaurant"
"SLAUSON'S DONUTS","3451 W SLAUSON AVE","LOS ANGELES","90043","06/17/2013","94","Restaurant"
"IZAKAYA HARU ULALA","368 E 2ND ST","LOS ANGELES","90012","06/17/2013","91","Restaurant"
"STATER BROS. #168 (DELI)","20677 AMAR RD","WALNUT","91789","06/17/2013","98","Restaurant"
"ICHI ICHI","18184 COLIMA RD","ROWLAND HEIGHTS","91748","06/17/2013","91","Restaurant"
"HAPPY FAMILY RESTAURANT","18425 E COLIMA RD #2FB","ROWLAND HEIGHTS","91748","06/17/2013","91","Restaurant"
"TARGET FOOD AVENUE","2370 S AZUSA AVE","WEST COVINA","91792","06/17/2013","98","Restaurant"
"PIZZA HUT #024940","12602 E DEL AMO BLVD","LAKEWOOD","90715","06/17/2013","91","Restaurant"
"MYUNG DONG TOFU","20627 GOLDEN SPRINGS RD #M&N;","WALNUT","91789","06/17/2013","93","Restaurant"
"TARGET FOOD AVENUE","12051 IMPERIAL HWY","NORWALK","90650","06/17/2013","98","Restaurant"
"TOMMY'S ORIGINAL WORLD FAMOUS","15911 S PIONEER BLVD","NORWALK","90650","06/17/2013","90","Restaurant"
"FRESH & EASY NEIGHBORHO BAKERY","2340 AZUSA AVE","WEST COVINA","91792","06/17/2013","100","Restaurant"
"LEE'S SANDWICHES","18194 COLIMA RD","ROWLAND HEIGHTS","91748","06/17/2013","92","Restaurant"
"PON  PON  CAFE","20657 GOLDEN SPRINGS DR #105","DIAMOND BAR","91789","06/17/2013","92","Restaurant"
"J.J. BURGERS","9841 E IMPERIAL HWY","DOWNEY","90242","06/17/2013","85","Restaurant"
"DEL TACO #146","11723 E DEL AMO BLVD","LAKEWOOD","90715","06/17/2013","94","Restaurant"
"DEL TACO #27","2395 S HACIENDA BLVD","HACIENDA HEIGHTS","91745","06/17/2013","97","Restaurant"
"DENNY'S #6059","16907 S PIONEER BLVD","ARTESIA","90701","06/17/2013","92","Restaurant"
"MAN SUN SUSHI","21190 GOLDEN SPRINGS DR","DIAMOND BAR","91789","06/17/2013","95","Restaurant"
"PIZZA HUT #24925","2133 S HACIENDA BLVD","HACIENDA HEIGHTS","91745","06/17/2013","92","Restaurant"
"YUM YUM DONUTS #9876","902 E ARROW HWY","COVINA","91724","06/17/2013","95","Restaurant"
"DOUGLAS DRIVE IN","16306 S PIONEER BLVD","NORWALK","90650","06/17/2013","91","Restaurant"
"RANCHO ZAPOTILLO (REST&MEAT;)","20917 S PIONEER BLVD","LAKEWOOD","90715","06/17/2013","90","Restaurant"
"PIONEER DONUTS","20931 S PIONEER BLVD","LAKEWOOD","90715","06/17/2013","95","Restaurant"
"FOUR 'N' 20 RESTAURANT","5530 VAN NUYS BLVD","VAN NUYS","91401","06/17/2013","96","Restaurant"
"MC DONALDS","7945 VAN NUYS BLVD","VAN NUYS","91402","06/17/2013","97","Restaurant"
"ROCIO'S MOLE DE LOS DIOSES","8255 SUNLAND BLVD","SUN VALLEY","91352","06/17/2013","93","Restaurant"
"MINT GARDEN THAI CUISINE","4850 VAN NUYS BLVD","SHERMAN OAKS","91403","06/17/2013","91","Restaurant"
"BAJA FRESH","14622 VENTURA BLVD","SHERMAN OAKS","91403","06/17/2013","94","Restaurant"
"BIG JIMS","8950 LAUREL CANYON BLVD","SUN VALLEY","91352","06/17/2013","90","Restaurant"
"KING TACO","7623 PACIFIC BLVD","HUNTINGTON PARK","90255","06/17/2013","99","Restaurant"
"JAMES FISH MARKET","625 E EL SEGUNDO BLVD","LOS ANGELES","90059","06/17/2013","98","Restaurant"
"WALMART (DELI)","12270 PARAMOUNT BLVD","DOWNEY","90241","06/17/2013","97","Restaurant"
"WALMART (BAKERY)","12270 PARAMOUNT BLVD","DOWNEY","90241","06/17/2013","98","Restaurant"
"SUBWAY #27263","11123 LONG BEACH 10","LYNWOOD","90262","06/17/2013","96","Restaurant"
"THE WHITEHOUSE","44431 N DIVISION ST","LANCASTER","93534","06/17/2013","98","Restaurant"
"RANCHO SIERRA GOLF COURSE","47205 E 60TH ST","LANCASTER","93535","06/17/2013","100","Restaurant"
"OUTRIGGER","8420 LANKERSHIM BLVD.","SUN VALLEY","91352","06/17/2013","94","Restaurant"
"NOMURA  SUSHI","14622 VENTURA BLVD #207","SHERMAN OAKS","91403","06/17/2013","95","Restaurant"
"EL TACO TORRO","8879 LAUREL CANYON BLVD","SUN VALLEY","91352","06/17/2013","92","Restaurant"
"ABEL'S BAKERY","8255 SUNLAND BLVD","SUN VALLEY","91352","06/17/2013","98","Restaurant"
"MACHU PICCHU","6465 VAN NUYS BLVD","VAN NUYS","91401","06/17/2013","96","Restaurant"
"CONTINENTAL AND SUMO SUSHI","5254 VAN NUYS BLVD","SHERMAN OAKS","91403","06/17/2013","96","Restaurant"
"ROUND TABLE PIZZA","44204 W 10TH ST","LANCASTER","93534","06/17/2013","92","Restaurant"
"CLUCK'S CHICKEN MARKET","12003 S AVALON BLVD 106","LOS ANGELES","90061","06/17/2013","97","Restaurant"
"SUBWAY SANDWICHES","6576 VAN NUYS BLVD","VAN NUYS","91405","06/17/2013","99","Restaurant"
"SAM'S KOSHER BAKERY","12450 BURBANK BLVD #H","VALLEY VILLAGE","91607","06/17/2013","83","Restaurant"
"AVALON SEAFOOD","20 PLEASURE PIER","AVALON","90704","06/17/2013","90","Restaurant"
"BURGER BASKET","17116 E AVE O","PALMDALE","93591","06/17/2013","90","Restaurant"
"ARTISIAN JAVA & JUICE","23780 NEWHALL AVE.","NEWHALL","91321","06/17/2013","100","Restaurant"
"THE WHOLE WHEATERY","44264 W 10TH ST","LANCASTER","93534","06/17/2013","92","Restaurant"
"LOS CHILES","17051 E AVE O # D","PALMDALE","93591","06/17/2013","91","Restaurant"
"RISTORANTE VILLA PORTOFINO","101 CRESCENT AVE","AVALON","90704","06/17/2013","92","Restaurant"
"EL BURRITO JR.","21141 HAWTHORNE BLVD","TORRANCE","90503","06/17/2013","93","Restaurant"
"ZEBRA ROOM","20930 HAWTHORNE BLVD","TORRANCE","90503","06/17/2013","96","Restaurant"
"NENAS II","2520 E PALMDALE BLVD #K-9","PALMDALE","93550","06/17/2013","99","Restaurant"
"TOUS LES JOURS","2515 TORRANCE BLVD #G","TORRANCE","90503","06/17/2013","95","Restaurant"
"RICO'S PIZZA","332 S GLENOAKS BLVD","BURBANK","91502","06/17/2013","95","Restaurant"
"TORTILLERIA COLIMA","1342 W 24TH ST","LOS ANGELES","90007","06/17/2013","93","Restaurant"
"LOS PINITOS NUEVOS BAKERY","1154 S LORENA ST","LOS ANGELES","90023","06/17/2013","90","Restaurant"
"RESTAURANTE EL GORDO","1182 S LORENA ST","LOS ANGELES","90023","06/17/2013","92","Restaurant"
"METRO GRILL CAFE","231 W VENICE BLVD","LOS ANGELES","90015","06/17/2013","84","Restaurant"
"PIZZA MAN 51","334 S GLENOAKS BLVD","BURBANK","91502","06/17/2013","93","Restaurant"
"MONTROSE BOWLING CENTER","2334 HONOLULU AVE","MONTROSE","91020","06/17/2013","98","Restaurant"
"TOKYO YAKITORI","200 S GLENOAKS BLVD","BURBANK","91502","06/17/2013","91","Restaurant"
"REYNAS PUPUSERIA","4300 S VERMONT AVE","LOS ANGELES","90037","06/17/2013","100","Restaurant"
"DELI ROBERT'S PIZZA Y MARISCOS","1190 S LORENA ST","LOS ANGELES","90023","06/17/2013","95","Restaurant"
"MOONLIGHT ROLLERWAY ASSOC","5110 SAN FERNANDO RD","GLENDALE","91204","06/17/2013","99","Restaurant"
"ALL SEAS FISH MARKET","4320 S VERMONT AVE","LOS ANGELES","90037","06/17/2013","90","Restaurant"
"RASPADOS DON MANUEL","1156 S LORENA ST","LOS ANGELES","90023","06/17/2013","97","Restaurant"
"LA PASADITA","1119 S LORENA ST","LOS ANGELES","90023","06/17/2013","95","Restaurant"
"HARD ROCK CAFE","1000 UNIVERSAL STUDIOS BLVD #99","UNIVERSAL CITY","91608","06/17/2013","97","Restaurant"
"ANTONIO'S  /  ( STARBUCKS )","1000 UNIVERSAL STUDIOS BLVD 105","UNIVERSAL CITY","91608","06/17/2013","97","Restaurant"
"EGG ROLL EXPRESS","2397 E WASHINGTON BLVD","PASADENA","91104","06/17/2013","90","Restaurant"
"BUCA DI BEPPO","1000 UNIVERSAL STUDIOS BLVD G10","UNIVERSAL CITY","91608","06/17/2013","97","Restaurant"
"ROCKY'S GOURMET PIZZA","1500 CANADA BLVD B-1","GLENDALE","91208","06/17/2013","95","Restaurant"
"QUIZNO'S SUB","1500 CANADA BLVD","GLENDALE","91208","06/17/2013","96","Restaurant"
"INDIA SWEETS AND SPICES REST","3126 LOS FELIZ BLVD","LOS ANGELES","90039","06/17/2013","90","Restaurant"
"TRATTORIA AMICI","469 N DOHENY DR","BEVERLY HILLS","90210","06/17/2013","90","Restaurant"
"BOILING POINT","250 W VALLEY BLVD #J","SAN GABRIEL","91776","06/17/2013","90","Restaurant"
"MY THAI","21714 DEVONSHIRE ST","CHATSWORTH","91311","06/17/2013","92","Restaurant"
"GUIDOS PIZZA AND PASTA","8650 LINDLEY AVE","NORTHRIDGE","91325","06/17/2013","98","Restaurant"
"CHINA EXPRESS RESTAURANT","20423 SHERMAN WY","CANOGA PARK","91306","06/17/2013","98","Restaurant"
"DOMINO'S PIZZA","8662 LINDLEY AVE","NORTHRIDGE","91325","06/17/2013","93","Restaurant"
"DRAGON WOK","9029 DE SOTO AVE","CANOGA PARK","91304","06/17/2013","86","Restaurant"
"PALIHOUSE LOBBY COFFEE BAR","1001 3RD ST","SANTA MONICA","90403","06/17/2013","100","Restaurant"
"JERSEY MIKE'S SUBS","19350 NORDHOFF ST","NORTHRIDGE","91324","06/17/2013","90","Restaurant"
"PALIHOUSE SM MAIN KITCHEN","1001 3RD ST","SANTA MONICA","90403","06/17/2013","96","Restaurant"
"NEAT BAR","1114 N PACIFIC AVE","GLENDALE","91202","06/16/2013","94","Restaurant"
"CLEAR  /  P 71","11916 VENTURA BLVD","STUDIO CITY","91604","06/16/2013","96","Restaurant"
